No.,n(SMILES),p(SMILES),,,Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),PCE_max(%)
373,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC(C(S3)=CC=C3C4=C(C5=CC=C(C6=CC7C8C9=C6C%10=CC=C(C(N%11C(CCCCCC)CCCCCC)=O)C%12=C%10C(C9=CC=C8C(N(C(CCCCCC)CCCCCC)C7=O)=O)=CC=C%12C%11=O)S5)C=C(C%13=CC=C(C(C=C%14C(N(C(CCCCCC)CCCCCC)C%15=O)=O)=C%16C%17=C%14C%15=CC=C%17C%18=CC=C(C%19=O)C%20C%18=C%16C=CC%20C(N%19C(CCCCCC)CCCCCC)=O)S%13)C(C%21=CC=C(C%22=CC%23C%24C%25=C%22C%26=CC=C(C(N%27C(CCCCCC)CCCCCC)=O)C%28=C%26C(C%25=CC=C%24C(N(C(CCCCCC)CCCCCC)C%23=O)=O)=CC=C%28C%27=O)S%21)=C4)=C(C%29=C%30C=CC1C%292)C%31=CC=C%32C%33=C%31C%30=CC=C%33C(N(C(CCCCCC)CCCCCC)C%32=O)=O,FC(C(F)=C(C1=CC=C(S1)C)C2=NSN=C23)=C3C4=CC=C(C5=C(CC(CCCCCC)CCCCCCC)C=C(C6=C(C(OCC(CCCCCCCC)CCCCCCCCC)=O)C=C(C7=C(F)C(F)=C(C8=CC(C(OCC(CCCCCCCC)CCCCCCCCC)=O)=C(C9=CC(CC(CCCCCC)CCCCCCC)=C(C)S9)S8)C%10=NSN=C7%10)S6)S5)S4,,,12.06,0.529,1.05,5.92,3.68,2.24,5.46,3.66,1.8,7.11
374,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC3=C(C4=C5C=CC1C42)C6=C(C7=C3SC(C8=C(C9=CC(C(C=C%10C(N(C(CCCCCC)CCCCCC)C%11=O)=O)=C%12C%13=C%10C%11=CC=C%13C%14=CC=C(C%15=O)C%16C%14=C%12C%17=CC%16C(N%15C(CCCCCC)CCCCCC)=O)=C%17S9)C=C(C%18=CC%19=C(C(C=C%20C(N(C(CCCCCC)CCCCCC)C%21=O)=O)=C%22C%23=C%20C%21=CC=C%23C%24=CC=C(C%25=O)C%26C%24=C%22C%19=CC%26C(N%25C(CCCCCC)CCCCCC)=O)S%18)C(C%27=CC(C(C=C%28C(N(C(CCCCCC)CCCCCC)C%29=O)=O)=C%30C%31=C%28C%29=CC=C%31C%32=CC=C(C%33=O)C%34C%32=C%30C%35=CC%34C(N%33C(CCCCCC)CCCCCC)=O)=C%35S%27)=C8)=C7)C=C%36C%37=C6C5=CC=C%37C(N(C(CCCCCC)CCCCCC)C%36=O)=O,FC(C(F)=C(C1=CC=C(S1)C)C2=NSN=C23)=C3C4=CC=C(C5=C(CC(CCCCCC)CCCCCCC)C=C(C6=C(C(OCC(CCCCCCCC)CCCCCCCCC)=O)C=C(C7=C(F)C(F)=C(C8=CC(C(OCC(CCCCCCCC)CCCCCCCCC)=O)=C(C9=CC(CC(CCCCCC)CCCCCCC)=C(C)S9)S8)C%10=NSN=C7%10)S6)S5)S4,,,13.89,0.659,1.13,5.74,3.58,2.16,5.46,3.66,1.8,10.58
375,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CC)CCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCC(CC)CCCCC)=C8S7,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,17.5,0.596,0.81,5.32,3.85,1.47,5.22,3.64,1.58,8.3
376,O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CC)CCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=C(Cl)C(Cl)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCC(CC)CCCCC)=C8S7,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,22.5,0.71,0.7,5.49,4.09,1.4,5.22,3.64,1.58,11.2
377,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CCCCC(CC)CSC1=CC=C(C(C2=C3C=C(C4=CC(C(OCCCCCCCC)=O)=C(C5=CC=C(C)S5)S4)S2)=C6C(SC(C7=CC(C(OCCCCCCCC)=O)=C(C)S7)=C6)=C3C8=CC=C(SCC(CC)CCCC)S8)S1,,,20.05,0.64,0.896,5.66,4.14,1.52,5.51,3.59,1.92,11.5
378,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CCCCC(CC)CSC1=CC=C(C(C2=C3C=C(C4=CC(C(OCCCCCCCCCC)=O)=C(C5=CC=C(C)S5)S4)S2)=C6C(SC(C7=CC(C(OCCCCCCCCCC)=O)=C(C)S7)=C6)=C3C8=CC=C(SCC(CC)CCCC)S8)S1,,,20.73,0.76,0.9,5.66,4.14,1.52,5.5,3.59,1.91,14.2
379,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CCCCC(CC)CSC1=CC=C(C(C2=C3C=C(C4=CC(C(OCCC(C)CCCC(C)C)=O)=C(C5=CC=C(C)S5)S4)S2)=C6C(SC(C7=CC(C(OCCC(C)CCCC(C)C)=O)=C(C)S7)=C6)=C3C8=CC=C(SCC(CC)CCCC)S8)S1,,,20.31,0.61,0.904,5.66,4.14,1.52,5.54,3.6,1.94,11.2
380,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC3=C(SC4=C5SC6=C4C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C6C=C%10C(C(S%11)=C(C(C%12=CC=C(CCCCCC)C=C%12)%10C%13=CC=C(CCCCCC)C=C%13)C%14=C%11C%15=C%16C=C%17C%18=C%19C%16=C(C(C=C%20C(N(C(CCCCC)CCCCC)C%21=O)=O)=C%15S%14)C(C%20=C%21C=C%22)=C%22C%19=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)=C9)C5=C%23C=C%24C%25=C%26C%23=C3C(C2=C1C=C%27)=C%27C%26=CC=C%25C(N(C(CCCCC)CCCCC)C%24=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,12.73,0.58,1.06,5.55,3.75,1.8,5.33,3.68,1.65,7.77
381,O=C(N(CCCCCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC=CS5)=CC1C32)C6=C(C7=CC=CS7)C=C8C9=C6C4=CC=C9C(N(CCCCCCCC)C8=O)=O,CC1=CC(CCCCCC)=C(C)S1,,,1.72,0.371,0.3,5.67,3.8,1.87,5,3.1,1.9,0.19
382,O=C(N(CCCCCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC=C(CCCCCC)S5)=CC1C32)C6=C(C7=CC=C(CCCCCC)S7)C=C8C9=C6C4=CC=C9C(N(CCCCCCCC)C8=O)=O,CC1=CC(CCCCCC)=C(C)S1,,,0.23,0.341,0.29,5.58,3.81,1.77,5,3.1,1.9,0.02
383,O=C(N(CCCCCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC=C(C6=CC=CS6)S5)=CC1C32)C7=C(C8=CC=C(C9=CC=CS9)S8)C=C%10C%11=C7C4=CC=C%11C(N(CCCCCCCC)C%10=O)=O,CC1=CC(CCCCCC)=C(C)S1,,,1,0.36,0.3,5.38,3.9,1.48,5,3.1,1.9,0.11
384,O=C(N(CCCCCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC=C(C6=CC=C(CCCCCC)S6)S5)=CC1C32)C7=C(C8=CC=C(C9=CC=C(CCCCCC)S9)S8)C=C%10C%11=C7C4=CC=C%11C(N(CCCCCCCC)C%10=O)=O,CC1=CC(CCCCCC)=C(C)S1,,,0.66,0.365,0.29,5.37,3.9,1.47,5,3.1,1.9,0.07
385,O=C(N(C(CCCCCCCC)CCCCCCCC)C1=O)C2=CC=C3C4=C2C1=CC=C4C5=C6C(C7=CC=C8C9=C7C6=CC=C9C(N(C(CCCCCCCC)CCCCCCCC)C8=O)=O)=C%10C(C%11=CC=C%12C%13=C%11C%10=CC=C%13C(N(C(CCCCCCCC)CCCCCCCC)C%12=O)=O)=C53,CC1=CC(CCCCCC)=C(C)S1,,,4.87,0.57,0.58,6.1,3.9,2.2,5.2,3.2,2,1.6
386,O=C(N(C(CC)CC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC=C6C7=C5C4=CC=C7C(N(C(CC)CC)C6=O)=O,O=C(C1=CC2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)CC(CC)CCCC,,,8.1,0.519,0.8,5.9,3.8,2.1,5.11,3.25,1.86,3.71
387,C12=C3C4=C5C1=C6C=CC2=CC=C3C=CC4=CC=C5C=C6,CC1=CC(CCCCCC)=C(C)S1,,,0.41,0.62,0.75,6.3,2.65,3.65,5,3.1,1.9,0.19
388,O=C(N1CCCCCC)C2=CC(C3=C4C5=C(C6=C3)C(C7=C58)=C(C=C6)C=CC7=CC=C8C=C4)=CC=C2C1=O,CC1=CC(CCCCCC)=C(C)S1,,,0.96,0.4,0.83,6.3,3.1,3.2,5,3.1,1.9,0.32
389,O=C(N(CCCCCC)C1=O)C2=CC=C(C3=C4C5=C(C6=C3)C(C7=C58)=C(C=C6)C=CC7=CC=C8C=C4)C9=C2C1=CC=C9,CC1=CC(CCCCCC)=C(C)S1,,,2.75,0.46,0.82,6.28,3.24,3.04,5,3.1,1.9,1.03
390,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(C7=CC=C(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)S7)=C6)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C=C(C%13=CC=C(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)S%13)S%12,O=C(C1=CC2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)CC(CC)CCCC,,,8.33,0.523,0.9,5.43,3.85,1.58,5.11,3.25,1.86,3.93
391,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC=C(C(C7=CC=C(C8=C(C9=CC=C(C%10=O)C%11C9=C%12C=CC%11C(N%10C(CCCCCC)CCCCCC)=O)C(C%12=CC=C%13C(N(C(CCCCCC)CCCCCC)C%14=O)=O)=C%13C%14=C8)C=C7)(C%15=CC=C(C%16=C(C%17=C%18C=CC%19C%17C(C(N(C(CCCCCC)CCCCCC)C%19=O)=O)=C%16)C%20=CC=C%21C%22=C%20C%18=CC=C%22C(N(C(CCCCCC)CCCCCC)C%21=O)=O)C=C%15)C%23=CC=C(C%24=C(C%25=C%26C=CC%27C%25C(C(N(C(CCCCCC)CCCCCC)C%27=O)=O)=C%24)C%28=CC=C%29C%30=C%28C%26=CC=C%30C(N(C(CCCCCC)CCCCCC)C%29=O)=O)C=C%23)C=C6)C=C%31C%32=C5C4=CC=C%32C(N(C(CCCCCC)CCCCCC)C%31=O)=O,CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,,,9.2,0.49,0.96,6,3.75,2.25,5.24,3.59,1.65,4.3
392,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC=C([Si](C7=CC=C(C8=C(C9=CC=C(C%10=O)C%11C9=C%12C=CC%11C(N%10C(CCCCCC)CCCCCC)=O)C(C%12=CC=C%13C(N(C(CCCCCC)CCCCCC)C%14=O)=O)=C%13C%14=C8)C=C7)(C%15=CC=C(C%16=C(C%17=C%18C=CC%19C%17C(C(N(C(CCCCCC)CCCCCC)C%19=O)=O)=C%16)C%20=CC=C%21C%22=C%20C%18=CC=C%22C(N(C(CCCCCC)CCCCCC)C%21=O)=O)C=C%15)C%23=CC=C(C%24=C(C%25=C%26C=CC%27C%25C(C(N(C(CCCCCC)CCCCCC)C%27=O)=O)=C%24)C%28=CC=C%29C%30=C%28C%26=CC=C%30C(N(C(CCCCCC)CCCCCC)C%29=O)=O)C=C%23)C=C6)C=C%31C%32=C5C4=CC=C%32C(N(C(CCCCCC)CCCCCC)C%31=O)=O,CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,,,8.5,0.53,0.94,6.01,3.75,2.26,5.24,3.59,1.65,4.3
393,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC=C([Ge](C7=CC=C(C8=C(C9=CC=C(C%10=O)C%11C9=C%12C=CC%11C(N%10C(CCCCCC)CCCCCC)=O)C(C%12=CC=C%13C(N(C(CCCCCC)CCCCCC)C%14=O)=O)=C%13C%14=C8)C=C7)(C%15=CC=C(C%16=C(C%17=C%18C=CC%19C%17C(C(N(C(CCCCCC)CCCCCC)C%19=O)=O)=C%16)C%20=CC=C%21C%22=C%20C%18=CC=C%22C(N(C(CCCCCC)CCCCCC)C%21=O)=O)C=C%15)C%23=CC=C(C%24=C(C%25=C%26C=CC%27C%25C(C(N(C(CCCCCC)CCCCCC)C%27=O)=O)=C%24)C%28=CC=C%29C%30=C%28C%26=CC=C%30C(N(C(CCCCCC)CCCCCC)C%29=O)=O)C=C%23)C=C6)C=C%31C%32=C5C4=CC=C%32C(N(C(CCCCCC)CCCCCC)C%31=O)=O,CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,,,5,0.37,0.92,5.94,3.68,2.26,5.24,3.59,1.65,1.6
394,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(C7=CC=C(/C=C(C#N)/C#N)C8=NSN=C87)=C6)(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)C=C4C%11=C2C=C(C%12=CC=C(/C=C(C#N)/C#N)C%13=NSN=C%13%12)S%11,O=C(C1=CC2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)CC(CC)CCCC,,,10.1,0.551,0.766,5.6,3.8,1.8,5.11,3.25,1.86,4.26
395,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(C8=CC=C(/C=C(C#N)/C#N)C9=NSN=C98)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(C%13=CC=C(/C=C(C#N)/C#N)C%14=NSN=C%14%13)=C%15)=C%15S%12,O=C(C1=CC2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)CC(CC)CCCC,,,9.87,0.572,0.851,5.5,3.8,1.7,5.11,3.25,1.86,4.81
396,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CCC(C3=C4C=CC1=C32)=C5CC=C6C7=C5C4=CC=C7C(N(C(CCCCC)CCCCC)C6=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,4.88,0.602,0.8,6.08,3.8,2.28,5.22,3.64,1.58,2.48
397,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C(C=C3C(N(C(CCCCC)CCCCC)C4=O)=O)=C5C6=C3C4=CCC6=C7C8=C5C=CC9=C8C(C(N(C(CCCCC)CCCCC)C9=O)=O)=CC7)C(C%10=C%11C=CC1=C%102)=C%12CC=C%13C%14=C%12C%11=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,13.01,0.533,0.76,6.09,3.88,2.21,5.22,3.64,1.58,5.32
398,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C3=CC(C(C4=C5C=CC(C6C(C7=C8C=CC9=C7C(C(N(C(CCCCC)CCCCC)C9=O)=O)=C6)=C%10CC=C%11C%12=C%10C8=CC=C%12C(N(C(CCCCC)CCCCC)C%11=O)=O)=C4)(C%13=C5C=CC(C%14=CC%15=C%16C%17=C%14C%18=CC=C(C(N(C(CCCCC)CCCCC)C%19=O)=O)C(C%19=CC%20)=C%18C%20=C%17CC=C%16C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%13)C%21=C%22C=CC(C%23=CC%24=C%25C%26=C%23C%27=CC=C(C(N(C(CCCCC)CCCCC)C%28=O)=O)C(C%28=CC%29)=C%27C%29=C%26CC=C%25C(N(C(CCCCC)CCCCC)C%24=O)=O)=C%21)=C%22C=C3)C(C%30=C%31C=CC1=C%302)=C%32CC=C%33C%34=C%32C%31=CC=C%34C(N(C(CCCCC)CCCCC)C%33=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,13.36,0.536,0.9,5.97,3.78,2.19,5.22,3.64,1.58,6.44
399,O=C(C1=C(C2=CC=C(C(/C(C3=CC=C(N(C4=C5C=CC=C4)C6=C5C=CC=C6)C=C3)=C(C#N)\C#N)=C(C#N)/C#N)S2)N7CCCCCCCCCC)N(CCCCCCCCCC)C(C8=CC=CS8)=C1C7=O,CC1=CC(F)=C(C2=CC3=C(C(SC(C)=C4)=C4[Si]3(CCCCCCCC)CCCCCCCC)S2)C5=NN(CCCCCC)N=C15,,,10.56,0.49,0.94,5.52,3.83,1.69,5.4,3.4,2,4.86
400,O=C(C1=C(C2=CC=C(C(/C(C3=CC=C(N(C4=C5C=CC=C4)C6=C5C=CC=C6)C=C3)=C(C#N)\C#N)=C(C#N)/C#N)S2)N7CCCCCCCCCC)N(CCCCCCCCCC)C(C8=CC=C(C#CC9=CC=C(N%10C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12)C=C9)S8)=C1C7=O,CC1=CC(F)=C(C2=CC3=C(C(SC(C)=C4)=C4[Si]3(CCCCCCCC)CCCCCCCC)S2)C5=NN(CCCCCC)N=C15,,,13.78,0.58,0.9,5.33,3.81,1.52,5.4,3.4,2,7.19
401,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(C8C(C7(C9C%10C=CC=C9)C%11=C%10C=CC=C%11)C=C(C%12=C(C%13=C%14C=CC%15C%13C(C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%12)C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)C=C8)C=C6)C=C%19C%20=C5C4=CC=C%20C(N(C(CCCCC)CCCCC)C%19=O)=O,CC1=CC2=C(S1)C(CCC(CCCC)CCCCCC)=C3C=C(SC3=C2CCC(CCCC)CCCCCC)C4=CC=C(S4)C5=C(C(F)=C(C6=NN(N=C65)CC(CCCC)CCCCCC)C7=CC=C(S7)C)F,,,6.7,0.367,0.935,5.9,3.83,2.07,5.45,3.45,2,2.3
402,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(C8C(C7(C9C%10C=CC=C9)C%11=C%10C=CC=C%11)C=C(C%12=C(C%13=C%14C=CC%15C%13C(C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%12)C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)C=C8)C=C6)C=C%19C%20=C5C4=CC=C%20C(N(C(CCCCC)CCCCC)C%19=O)=O,CC1=CC2=C(C(CCC(CCCCCC)CCCC)=C3C=C(C4=CC=C(C5=C(C#N)N=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCC)N=C75)S4)SC3=C2CCC(CCCCCC)CCCC)S1,,,8.15,0.465,1.152,5.9,3.83,2.07,5.67,3.83,1.84,4.37
403,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(OCCCCCCCC)C=C6)4C7=CC=CC(OCCCCCCCC)=C7)C=C8C(N(CCCCCCCC)C9=C8C=C%10C(C(SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%13)=C%13C%10(C%14=CC=C(OCCCCCCCC)C=C%14)C%15=CC=C(OCCCCCCCC)C=C%15)=C9)=C5,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,11.23,0.56,0.95,5.5,3.87,1.63,5.2,3.56,1.64,6
404,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCCCC)(CCCCCCCC)C7=C6C=C8C(C(SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CCCCCC)CCCCCC)=C7)=C5,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,16.69,0.677,0.92,5.62,3.99,1.63,5.23,3.42,1.81,10.45
405,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6C=C8C(C(SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CCCCCC)CCCCCC)=C7)=C5,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,16.84,0.634,0.91,5.6,3.97,1.63,5.23,3.42,1.81,9.75
406,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCCCC)CCCCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6C=C8C(C(SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CCCCCCCC)CCCCCCCC)=C7)=C5,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,18.55,0.647,0.93,5.64,4.02,1.62,5.23,3.42,1.81,11.12
407,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC1=CC(C(S1)=C2C3=CC=C(SCC(CCCC)CCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCC)CCCCCC)N=C68)S5)S4)C9=CC=C(SCC(CCCC)CCCCCC)S9,,,19,0.62,0.89,5.6,3.85,1.75,5.37,3.47,1.9,10.5
